timestamp,asn,csp,tls,hash,extract_regex,cdn_name,cdn_type,sni,port,url,input,location,title,scheme,error,webserver,body_preview,content_type,method,host,path,favicon,favicon_md5,favicon_path,favicon_url,final_url,time,jarm_hash,chain_status_codes,a,aaaa,cname,tech,extracts,chain,words,lines,status_code,content_length,failed,vhost,websocket,cdn,http2,pipeline,headless_body,screenshot_bytes,stored_response_path,screenshot_path,screenshot_path_rel,knowledgebase,resolvers,trace
2025-11-14 04:56:14.482364508 +0000 UTC m=+1.423544940,"AS54113, fastly, US",<nil>,<nil>,map[],[],fastly,cdn,,443,https://0-------0.bandcamp.com,0-------0.bandcamp.com,https://0-------0.bandcamp.com/album/hope-springs-eternal,,https,,nginx,,,GET,151.101.1.91,/,,,,,,276.616759ms,29d3fd00029d29d00041d41d00041d6b5eefa2404a56c2ced79a0d16afe36c,[],[151.101.65.91 151.101.1.91 151.101.129.91 151.101.193.91],[],[],[HSTS Nginx Varnish],map[],[],11,1,303,184,false,false,false,true,false,false,,[],,,,map[PageType:error pHash:0],[1.1.1.1:53 127.0.0.53:53],<nil>
2025-11-14 04:56:14.647172138 +0000 UTC m=+1.588352580,"AS54113, fastly, US",<nil>,<nil>,map[],[],fastly,cdn,,443,https://0.bandcamp.com,0.bandcamp.com,https://bandcamp.com,,https,,nginx,,,GET,151.101.193.91,/,,,,,,76.059947ms,29d3fd00029d29d00041d41d00041d6b5eefa2404a56c2ced79a0d16afe36c,[],[151.101.129.91 151.101.193.91 151.101.65.91 151.101.1.91],[],[],[HSTS Nginx Varnish],map[],[],11,1,303,110,false,false,false,true,false,false,,[],,,,map[PageType:error pHash:0],[8.8.8.8:53 8.8.4.4:53],<nil>
2025-11-14 04:56:15.305422481 +0000 UTC m=+2.246602913,"AS54113, fastly, US",<nil>,<nil>,map[],[],fastly,cdn,,443,https://0000000.bandcamp.com,0000000.bandcamp.com,https://0000000.bandcamp.com/album/entity,,https,,nginx,,,GET,151.101.129.91,/,,,,,,181.631364ms,29d3fd00029d29d00041d41d00041d6b5eefa2404a56c2ced79a0d16afe36c,[],[151.101.1.91 151.101.129.91 151.101.65.91 151.101.193.91],[],[],[HSTS Nginx Varnish],map[],[],11,1,303,152,false,false,false,true,false,false,,[],,,,map[PageType:error pHash:0],[8.8.4.4:53 127.0.0.53:53],<nil>
2025-11-14 04:56:15.805082246 +0000 UTC m=+2.746262678,"AS54113, fastly, US",<nil>,<nil>,map[],[],fastly,cdn,,443,https://00000000000000.bandcamp.com,00000000000000.bandcamp.com,https://bandcamp.com/signup?new_domain=00000000000000,,https,,nginx,,,GET,151.101.193.91,/,,,,,,105.546057ms,29d3fd00029d29d00041d41d00041d6b5eefa2404a56c2ced79a0d16afe36c,[],[151.101.1.91 151.101.193.91 151.101.65.91 151.101.129.91],[],[],[HSTS Nginx Varnish],map[],[],11,1,303,176,false,false,false,true,false,false,,[],,,,map[PageType:error pHash:0],[1.1.1.1:53 1.0.0.1:53],<nil>
2025-11-14 04:56:15.814119473 +0000 UTC m=+2.755299915,"AS54113, fastly, US",<nil>,<nil>,map[],[],fastly,cdn,,443,https://00-0.bandcamp.com,00-0.bandcamp.com,,Music | 00.0,https,,nginx,,text/html,GET,151.101.65.91,/,1236999934,40fdc9c012ce5232a6145ade571e7bbd,,https://s4.bcbits.com/img/favicon/favicon-16x16.png,,210.310899ms,29d3fd00029d29d00041d41d00041d6b5eefa2404a56c2ced79a0d16afe36c,[],[151.101.65.91 151.101.129.91 151.101.1.91 151.101.193.91],[],[],[HSTS Nginx Stripe Varnish jQuery],map[],[],20021,2209,200,155501,false,false,false,true,false,false,,[],,,,map[PageType:nonerror pHash:0],[127.0.0.53:53 8.8.8.8:53],<nil>
2025-11-14 04:56:15.834992932 +0000 UTC m=+2.776173364,"AS54113, fastly, US",<nil>,<nil>,map[],[],fastly,cdn,,443,https://0000.bandcamp.com,0000.bandcamp.com,,Merch | 0000,https,,nginx,,text/html,GET,151.101.193.91,/,1236999934,40fdc9c012ce5232a6145ade571e7bbd,,https://s4.bcbits.com/img/favicon/favicon-16x16.png,,250.731207ms,29d3fd00029d29d00041d41d00041d6b5eefa2404a56c2ced79a0d16afe36c,[],[151.101.129.91 151.101.193.91 151.101.1.91 151.101.65.91],[],[],[HSTS Nginx Stripe Varnish jQuery],map[],[],25502,2783,200,167567,false,false,false,true,false,false,,[],,,,map[PageType:nonerror pHash:0],[1.1.1.1:53 1.0.0.1:53],<nil>
2025-11-14 04:56:16.323307722 +0000 UTC m=+3.264488224,"AS54113, fastly, US",<nil>,<nil>,map[],[],fastly,cdn,,443,https://0000000000000000.bandcamp.com,0000000000000000.bandcamp.com,https://bandcamp.com/signup?new_domain=0000000000000000,,https,,nginx,,,GET,151.101.129.91,/,,,,,,106.497202ms,29d3fd00029d29d00041d41d00041d6b5eefa2404a56c2ced79a0d16afe36c,[],[151.101.65.91 151.101.1.91 151.101.193.91 151.101.129.91],[],[],[HSTS Nginx Varnish],map[],[],11,1,303,180,false,false,false,true,false,false,,[],,,,map[PageType:error pHash:0],[127.0.0.53:53 1.0.0.1:53],<nil>
2025-11-14 04:56:16.396380051 +0000 UTC m=+3.337560483,"AS54113, fastly, US",<nil>,<nil>,map[],[],fastly,cdn,,443,https://000arc000.bandcamp.com,000arc000.bandcamp.com,https://bandcamp.com/signup?new_domain=000arc000,,https,,nginx,,,GET,151.101.129.91,/,,,,,,79.978491ms,29d3fd00029d29d00041d41d00041d6b5eefa2404a56c2ced79a0d16afe36c,[],[151.101.65.91 151.101.193.91 151.101.1.91 151.101.129.91],[],[],[HSTS Nginx Varnish],map[],[],11,1,303,166,false,false,false,true,false,false,,[],,,,map[PageType:error pHash:0],[8.8.4.4:53 127.0.0.53:53],<nil>
2025-11-14 04:56:16.819433121 +0000 UTC m=+3.760613553,"AS54113, fastly, US",<nil>,<nil>,map[],[],fastly,cdn,,443,https://000kuf000.bandcamp.com,000kuf000.bandcamp.com,https://bandcamp.com/signup?new_domain=000kuf000,,https,,nginx,,,GET,151.101.193.91,/,,,,,,94.211273ms,29d3fd00029d29d00041d41d00041d6b5eefa2404a56c2ced79a0d16afe36c,[],[151.101.1.91 151.101.65.91 151.101.129.91 151.101.193.91],[],[],[HSTS Nginx Varnish],map[],[],11,1,303,166,false,false,false,true,false,false,,[],,,,map[PageType:error pHash:0],[1.1.1.1:53 1.0.0.1:53],<nil>
2025-11-14 04:56:17.079279405 +0000 UTC m=+4.020459837,"AS54113, fastly, US",<nil>,<nil>,map[],[],fastly,cdn,,443,https://00000ooooo.bandcamp.com,00000ooooo.bandcamp.com,,Music | ⣎⡇ꉺლ༽இ•̛)ྀ◞ ༎ຶ ༽ৣৢ؞ৢ؞ؖ ꉺლ,https,,nginx,,text/html,GET,151.101.1.91,/,1236999934,40fdc9c012ce5232a6145ade571e7bbd,,https://s4.bcbits.com/img/favicon/favicon-16x16.png,,205.712256ms,29d3fd00029d29d00041d41d00041d6b5eefa2404a56c2ced79a0d16afe36c,[],[151.101.1.91 151.101.65.91 151.101.193.91 151.101.129.91],[],[],[HSTS Nginx Stripe Varnish jQuery],map[],[],20744,2287,200,160343,false,false,false,true,false,false,,[],,,,map[PageType:nonerror pHash:0],[1.1.1.1:53 8.8.8.8:53],<nil>
